Date,Zone,Day,CodedDay,CodedWeather,Temperature,Realtime,Time
01-02-2016 10:00,61,Monday,2,30,48,19.98333333,20
21-12-2015 10:00,61,Monday,2,11,53,20.48333333,20
18-04-2016 10:00,61,Monday,2,34,64,19.25,19
25-04-2016 10:00,61,Monday,2,23,52,20.18333333,20
02-05-2016 10:00,61,Monday,2,28,57,17.13333333,17
09-05-2016 10:00,61,Monday,2,26,55,17.25,17
07-03-2016 10:00,61,Monday,2,26,51,18.93333333,19
14-03-2016 10:00,61,Monday,2,28,56,19.1,19
21-03-2016 10:00,61,Monday,2,26,56,19.83333333,20
28-03-2016 10:00,61,Monday,2,24,51,17.66666667,18
08-02-2016 10:00,61,Monday,2,34,57,16.11666667,16
15-02-2016 10:00,61,Monday,2,30,67,17.36666667,17
22-02-2016 10:00,61,Monday,2,28,55,14.53333333,15
29-02-2016 10:00,61,Monday,2,20,55,17.83333333,18
16-05-2016 10:00,61,Monday,2,32,58,20.91666667,21
25-01-2016 10:00,61,Monday,2,26,54,22.4,22
23-05-2016 10:00,61,Monday,2,30,55,19.43333333,19
30-05-2016 10:00,61,Monday,2,30,58,18.43333333,18
06-06-2016 10:00,61,Monday,2,26,56,17.88333333,18
13-06-2016 10:00,61,Monday,2,23,61,19.33333333,19
20-06-2016 10:00,61,Monday,2,34,58,18.45,18
27-06-2016 10:00,61,Monday,2,32,53,16.21666667,16
04-07-2016 10:00,61,Monday,2,26,56,15.85,16
11-07-2016 10:00,61,Monday,2,32,61,17,17
18-07-2016 10:00,61,Monday,2,23,56,14.63333333,15
25-07-2016 10:00,61,Monday,2,26,57,16.86666667,17
01-08-2016 10:00,61,Monday,2,26,58,18.73333333,19
08-08-2016 10:00,61,Monday,2,30,56,15.31666667,15
15-08-2016 10:00,61,Monday,2,26,54,15.53333333,15
22-08-2016 10:00,61,Monday,2,26,56,15.25,15
12-09-2016 10:00,61,Monday,2,28,56,14.33333333,14
12-04-2016 10:30,64,Tuesday,3,30,53,19.88333333,20
02-02-2016 10:30,64,Tuesday,3,26,48,19.3,19
22-12-2015 10:30,64,Tuesday,3,26,57,19.93333333,19
19-04-2016 10:30,64,Tuesday,3,30,64,18.16666667,18
26-04-2016 10:30,64,Tuesday,3,26,53,22,22
03-05-2016 10:30,64,Tuesday,3,26,56,13.4,13
10-05-2016 10:30,64,Tuesday,3,30,56,19.33333333,19
08-03-2016 10:30,64,Tuesday,3,28,59,16.86666667,17
15-03-2016 10:30,64,Tuesday,3,30,53,18.45,18
22-03-2016 10:30,64,Tuesday,3,30,56,22.9,23
29-03-2016 10:30,64,Tuesday,3,32,53,18.9,19
02-02-2016 10:30,64,Tuesday,3,26,48,19.3,19
09-02-2016 10:30,64,Tuesday,3,28,59,21.08333333,21
16-02-2016 10:30,64,Tuesday,3,30,62,17.66666667,18
23-02-2016 10:30,64,Tuesday,3,28,61,17.66666667,18
17-05-2016 10:30,64,Tuesday,3,34,64,22.73333333,23
26-01-2016 10:30,64,Tuesday,3,28,52,17.36666667,17
24-05-2016 10:30,64,Tuesday,3,23,57,20.11666667,20
31-05-2016 10:30,64,Tuesday,3,34,58,20.56666667,21
07-06-2016 10:30,64,Tuesday,3,26,57,19.83333333,20
14-06-2016 10:30,64,Tuesday,3,23,56,16.03333333,16
21-06-2016 10:30,64,Tuesday,3,32,62,18.46666667,18
28-06-2016 10:30,64,Tuesday,3,34,53,16.85,17
05-07-2016 10:30,64,Tuesday,3,23,58,22.66666667,23
12-07-2016 10:30,64,Tuesday,3,23,55,16.35,16
19-07-2016 10:30,64,Tuesday,3,23,55,19.15,19
26-07-2016 10:30,64,Tuesday,3,28,62,18.8,19
02-08-2016 10:30,64,Tuesday,3,26,56,17.3,17
09-08-2016 10:30,64,Tuesday,3,28,56,15.86666667,16
16-08-2016 10:30,64,Tuesday,3,26,54,14.51666667,15
23-08-2016 10:30,64,Tuesday,3,26,59,17.51666667,18
30-08-2016 10:30,64,Tuesday,3,32,60,19.01666667,19
06-09-2016 10:30,64,Tuesday,3,32,61,16.13333333,16
13-09-2016 10:30,64,Tuesday,3,34,61,14.98333333,15
13-04-2016 19:00,115,Wednesday,4,30,57,20.9,21
03-02-2016 19:00,115,Wednesday,4,27,55,21.31666667,21
16-12-2015 19:00,115,Wednesday,4,29,46,33.01666667,33
20-04-2016 19:00,115,Wednesday,4,28,63,27.83333333,28
27-04-2016 19:00,115,Wednesday,4,24,55,19.58333333,20
02-03-2016 19:00,115,Wednesday,4,26,61,17.93333333,18
04-05-2016 19:00,115,Wednesday,4,26,58,13.5,14
11-05-2016 19:00,115,Wednesday,4,28,57,21.36666667,21
09-03-2016 19:00,115,Wednesday,4,26,63,19.55,20
16-03-2016 19:00,115,Wednesday,4,30,69,23.01666667,23
17-12-2015 19:30,118,Thursday,5,29,54,22.01666667,22
14-04-2016 19:30,118,Thursday,5,24,57,20.75,21
21-04-2016 19:30,118,Thursday,5,23,62,17.9,18
28-04-2016 19:30,118,Thursday,5,24,57,20.43333333,20
03-03-2016 19:30,118,Thursday,5,26,61,17.23333333,17
05-05-2016 19:30,118,Thursday,5,28,61,19.43333333,19
12-05-2016 19:30,118,Thursday,5,23,57,20.73333333,21
10-03-2016 19:30,118,Thursday,5,11,61,21.81666667,22
17-03-2016 19:30,118,Thursday,5,34,67,18.95,19
24-03-2016 19:30,118,Thursday,5,23,58,22.41666667,22
18-12-2015 20:00,121,Friday,6,11,53,26.11666667,26
15-04-2016 20:00,121,Friday,6,23,61,19.56666667,20
22-04-2016 20:00,121,Friday,6,23,58,18.23333333,18
29-04-2016 20:00,121,Friday,6,24,55,19.58333333,20
12-02-2016 20:00,121,Friday,6,27,60,17.13333333,17
04-03-2016 20:00,121,Friday,6,27,63,19.66666667,20
06-05-2016 20:00,121,Friday,6,28,58,21.06666667,21
13-05-2016 20:00,121,Friday,6,32,58,20.6,21
11-03-2016 20:00,121,Friday,6,11,54,22.88333333,23
18-03-2016 20:00,121,Friday,6,28,58,22.86666667,23
25-03-2016 20:00,121,Friday,6,23,58,20,20
05-02-2016 20:00,121,Friday,6,29,55,12.38333333,12
12-02-2016 20:00,121,Friday,6,27,60,17.13333333,17
19-02-2016 20:00,121,Friday,6,26,53,20.4,20
26-02-2016 20:00,121,Friday,6,26,58,20.35,20
